kd_diff,sig_strike_diff,total_strikes_diff,td_diff,ctrl_time_diff,height_diff,reach_diff,age_diff,winrate_diff,winner
-1,-6.333333333,-2,0,-6.333333333,-1,-2,1,-0.081447964,0
0.25,-91.5,-97,0,11.5,-2,1,-1,0.056818182,1
0,14.8,10.4,0,-21.4,1,-1,3,-0.113636364,0
-0.6,34.4,63,5,232.6,1,-1,0,-0.16,0
0,-13.2,1.4,-0.8,-128.1333333,0,1,-1,0.130718954,0
-0.466666667,-0.133333333,-2.533333333,0.2,-24.46666667,4,7,6,-0.021091811,1
0.4,10.6,-24,-2.8,-227.4,1,-2,-2,-0.071428571,0
0.2,-32.2,-26.6,-0.2,-48.8,-1,6,-1,-0.019323671,1
-0.133333333,-11.06666667,-3.4,0,28.93333333,3,4,1,0.005714286,1
0,16,31.5,1,52.5,3,5,-11,0.298076923,1
0.4,-37.6,-35.6,0,-1.2,3,1,1,-0.102564103,0
0.6,18.5,25,-1.2,-125.3,3,3,8,-0.18,1
0.4,14.6,10.8,-0.2,-0.6,-1,0,-9,0.188552189,1
0.2,7.2,-1.4,-0.8,-113.6,-1,-3,0,-0.120634921,0
0,27.5,57.5,2.166666667,238.5,-6,-2,-8,0.209080048,1
0.5,47.5,32.5,-2.5,-177.5,2,5,-3,-0.112375533,0
0,19,25,-2,-29,2,5,3,0.066666667,1
0.2,66.6,46.2,0.4,-116.4,-1,1,0,-0.115384615,0
0.2,61.6,72.2,1.2,151.6,1,3,5,0.277777778,1
-0.8,31.4,34.6,0.2,38,-2,-3,3,-0.071014493,0
0.4,90.4,85.73333333,1.2,56.13333333,-4,-2,3,-0.222222222,0
0.2,26.4,64.4,2.4,204.2,-1,-3,7,-0.149206349,1
0,0,0,0,0,0,5,-4,0.333333333,1
-0.2,2.4,11.2,0.2,118.2,1,3,8,-0.062068966,0
0.6,-20.2,-23.6,-2.2,-132.2,-1,1,2,-0.102695764,0
0,-22.6,2.2,1.8,150.2,4,2,-7,0.107692308,0
0,19.4,5.2,-0.4,-95.4,2,5,2,-0.210526316,0
0.2,-2,-14.73333333,0.466666667,55.53333333,-1,1,-1,0.093333333,1
-0.333333333,25,41,0.666666667,22.66666667,0,-1,0,0.034313725,0
0,9.4,-6.8,-5.8,-348.4,2,1,5,-0.092879257,0
-0.2,47.4,51.8,-0.4,30.8,1,-5,-3,0.173796791,1
0,-37.6,-39.6,0.6,-52.4,0,2,-17,0.220588235,1
0.4,-22.4,-33.6,-1.6,-114.8,4,3,7,-0.074324324,1
0,-24.26666667,-34.06666667,-2.333333333,-18.46666667,1,0,5,-0.194444444,0
0,-1.8,11.2,1.8,113,-1,-4,8,-0.212820513,0
0,81,109,1,331,1,2,-9,0.141666667,1
0,33,23.33333333,2.666666667,86.66666667,2,2,-5,0.2125,1
-0.4,3.6,56.2,1.8,227.2,1,5,-7,0.077272727,1
0.466666667,-9.533333333,-29.06666667,-1.133333333,-111,-2,-4,3,0.216666667,1
0.25,26.7,31.7,-0.3,-5.9,-1,0,0,0.261904762,1
0.2,12.6,22.8,0.2,28,0,-5,-4,-0.103174603,0
-0.466666667,-0.4,11.6,1.533333333,250.1333333,0,4,-5,0.114035088,1
0.6,22.4,37.8,0.2,46.4,-3,-5,1,-0.049019608,0
0,-49.2,-45.6,0.6,51.8,0,3,-1,-0.155080214,0
-0.05,60.1,82.75,0.15,-22.9,-2,0,-5,-0.019230769,1
0,-8.6,13.8,-0.8,27.6,4,7,-1,-0.040372671,1
-1,49.5,44.5,2.5,183.5,4,2,4,-0.111111111,0
