fighterid,link
254,http://ufcstats.com/fighter-details/45f0cc9d18f35137
255,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
256,http://ufcstats.com/fighter-details/3d074044a33825e7
257,http://ufcstats.com/fighter-details/32c3ee378671a5d9
258,http://ufcstats.com/fighter-details/4798e823ada58fe9
259,http://ufcstats.com/fighter-details/4333a8e70a672eb7
260,http://ufcstats.com/fighter-details/9014c02eff8b3d62
261,http://ufcstats.com/fighter-details/2e19380f34871c6a
262,http://ufcstats.com/fighter-details/70e1f8a821b72c8b
263,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb
264,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a
265,http://ufcstats.com/fighter-details/c5ccd878231c5407
266,http://ufcstats.com/fighter-details/a845f0735bc67405
267,http://ufcstats.com/fighter-details/6c3b2525436cf5d4
268,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
269,http://ufcstats.com/fighter-details/b4b496ec2197ee3e
270,http://ufcstats.com/fighter-details/69898645d600abdb
271,http://ufcstats.com/fighter-details/8ebc3a8da015d70c
272,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
273,http://ufcstats.com/fighter-details/af9f42e6894047fc
274,http://ufcstats.com/fighter-details/40a456a25d52ee65
275,http://ufcstats.com/fighter-details/ed7d329d7c29428d
276,http://ufcstats.com/fighter-details/723b64c0e9a8f348
277,http://ufcstats.com/fighter-details/ca80d72da81d7224
278,http://ufcstats.com/fighter-details/528b071cf3da7c56
279,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7
280,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce
281,http://ufcstats.com/fighter-details/4e30e4250cb08b61
282,http://ufcstats.com/fighter-details/545092d13c67aa49
283,http://ufcstats.com/fighter-details/f166e93d04a8c274
284,http://ufcstats.com/fighter-details/52ef95b5860fb28c
285,http://ufcstats.com/fighter-details/05339613bf8e9808
286,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa
287,http://ufcstats.com/fighter-details/e132d47bd9efbbe0
288,http://ufcstats.com/fighter-details/7026eca45f65377b
289,http://ufcstats.com/fighter-details/8c0580d4fff106c1
290,http://ufcstats.com/fighter-details/71505842fb6455c3
291,http://ufcstats.com/fighter-details/262a7d06203657e6
292,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc
293,http://ufcstats.com/fighter-details/faf317c665546a36
294,http://ufcstats.com/fighter-details/32feae6d9a1e5047
295,http://ufcstats.com/fighter-details/baa9be02c3e3e038
296,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
297,http://ufcstats.com/fighter-details/d747eb273a40a920
298,http://ufcstats.com/fighter-details/ae7fe94f117f98cf
299,http://ufcstats.com/fighter-details/b08012bbe542592a
300,http://ufcstats.com/fighter-details/3df5493bb279226f
301,http://ufcstats.com/fighter-details/c051c2e12d692b8a
